wavelength,Intensity
492.34,5678.46482
492.565,5708.98436
492.79,5731.47627
493.015,5761.89413
493.24,5783.64003
493.465,5817.42033
493.69,5849.37738
493.915,5876.44173
494.141,5892.11208
494.366,5916.54714
494.591,5939.77716
494.816,5964.72529
495.041,5989.39698
495.266,6023.34774
495.491,6048.80183
495.716,6080.19912
495.941,6101.64529
496.166,6121.38868
496.391,6141.79996
496.616,6167.32675
496.84,6183.71638
497.065,6204.60514
497.29,6223.98609
497.515,6238.23532
497.74,6250.25485
497.965,6270.97955
498.19,6287.4079
498.414,6308.73585
498.639,6329.20889
498.864,6353.00351
499.089,6367.1416
499.314,6387.65775
499.538,6404.39557
499.763,6421.87164
499.988,6445.2454
500.212,6465.61576
500.437,6485.13858
500.662,6503.95708
500.886,6515.99804
501.111,6536.09804
501.336,6550.50687
501.56,6578.62958
501.785,6599.68112
502.01,6621.50674
502.234,6638.66588
502.459,6658.83407
502.683,6671.04215
502.908,6689.65953
503.132,6706.55827
503.357,6724.73098
503.581,6744.05006
503.806,6761.25971
504.03,6775.0582
504.255,6805.14514
504.479,6824.13295
504.703,6850.40147
504.928,6873.46468
505.152,6904.17492
505.377,6922.35084
505.601,6949.98643
505.825,6979.09121
506.05,7005.77212
506.274,7039.30545
506.498,7065.95022
506.723,7073.94129
506.947,7096.73148
507.171,7115.46241
507.395,7135.51878
507.62,7155.73455
507.844,7181.6626
508.068,7202.51624
508.292,7223.57472
508.516,7247.01435
508.741,7265.16967
508.965,7295.51802
509.189,7333.00068
509.413,7370.86069
509.637,7398.53064
509.861,7435.85383
510.085,7470.12631
510.309,7506.37833
510.533,7545.73634
510.757,7580.09177
510.981,7613.44485
511.205,7643.60922
511.429,7668.88795
511.653,7700.23244
511.877,7720.72547
512.101,7752.96874
512.325,7781.28443
512.549,7814.23629
512.773,7848.34567
512.997,7873.08156
513.221,7907.55237
513.445,7938.09213
513.668,7979.76627
513.892,8019.33062
514.116,8052.77089
514.34,8095.43418
514.564,8126.90588
514.787,8158.74991
515.011,8193.5421
515.235,8223.12157
515.459,8261.42713
515.682,8296.93409
515.906,8328.71419
516.13,8356.66626
516.353,8387.36237
516.577,8422.89282
516.801,8456.54762
517.024,8495.65221
517.248,8535.25789
517.472,8571.56821
517.695,8612.1623
517.919,8649.76289
518.142,8688.71556
518.366,8728.80222
518.589,8771.6816
518.813,8812.07549
519.036,8851.21268
519.26,8890.83318
519.483,8934.98587
519.707,8978.6336
519.93,9018.50062
520.154,9057.16923
520.377,9093.09289
520.6,9133.30562
520.824,9181.62248
521.047,9217.63078
521.271,9254.38163
521.494,9296.09697
521.717,9329.05201
521.941,9366.37069
522.164,9405.04927
522.387,9442.3728
522.61,9478.85008
522.834,9512.973
523.057,9545.50994
523.28,9576.51799
523.503,9621.24548
523.726,9660.69599
523.95,9699.49296
524.173,9743.81219
524.396,9779.18676
524.619,9816.63654
524.842,9858.98811
525.065,9897.97373
525.288,9943.76195
525.511,9986.05457
525.735,10024.88482
525.958,10062.49894
526.181,10099.13018
526.404,10129.06425
526.627,10163.92105
526.85,10201.67791
527.073,10236.94426
527.296,10268.85663
527.519,10297.08557
527.741,10323.70289
527.964,10352.05684
528.187,10373.90351
528.41,10398.5605
528.633,10426.3265
528.856,10453.99473
529.079,10481.10203
529.302,10504.27769
529.524,10528.21926
529.747,10545.72165
529.97,10566.99448
530.193,10588.68527
530.416,10610.35224
530.638,10646.37181
530.861,10674.01547
531.084,10695.97749
531.306,10715.68145
531.529,10732.18703
531.752,10753.49225
531.974,10763.93253
532.197,10784.23757
532.42,10806.65328
532.642,10826.12276
532.865,10837.8979
533.087,10842.5054
533.31,10847.55977
533.533,10850.06532
533.755,10858.36971
533.978,10869.61822
534.2,10876.26505
534.423,10872.66155
534.645,10881.8736
534.868,10881.6368
535.09,10881.46362
535.312,10883.10177
535.535,10881.87144
535.757,10881.2697
535.98,10894.04568
536.202,10892.20539
536.424,10892.11404
536.647,10890.33632
536.869,10895.98486
537.091,10893.2074
537.314,10897.6294
537.536,10898.30398
537.758,10905.04403
537.981,10905.72746
538.203,10909.94371
538.425,10904.15583
538.647,10902.39003
538.869,10906.63333
539.092,10908.93101
539.314,10916.06414
539.536,10918.93304
539.758,10914.89357
539.98,10922.54974
540.202,10921.02452
540.424,10918.90214
540.647,10915.46089
540.869,10920.97449
541.091,10931.46565
541.313,10929.66286
541.535,10933.12378
541.757,10934.59379
541.979,10933.79845
542.201,10938.69616
542.423,10932.49023
542.645,10936.44749
542.867,10939.32647
543.088,10937.12989
543.31,10936.59972
543.532,10932.56057
543.754,10934.46408
543.976,10934.65603
544.198,10942.69375
544.42,10940.8667
544.641,10941.5883
544.863,10948.49935
545.085,10951.14543
545.307,10953.93742
545.529,10961.57722
545.75,10968.37161
545.972,10971.74304
546.194,10975.15257
546.415,10985.6507
546.637,10993.33945
546.859,11002.75959
547.08,11018.45258
547.302,11023.06584
547.524,11032.0234
547.745,11048.71185
547.967,11070.2624
548.189,11080.67202
548.41,11095.27485
548.632,11105.78569
548.853,11119.55019
549.075,11125.60055
549.296,11146.53101
549.518,11160.11037
549.739,11178.84691
549.961,11201.33908
550.182,11211.4884
550.403,11218.04804
550.625,11236.24259
550.846,11247.317
551.068,11264.32464
551.289,11268.01389
551.51,11285.07347
551.732,11291.30486
551.953,11301.54419
552.174,11313.21677
552.396,11323.74275
552.617,11336.57748
552.838,11345.21075
553.059,11361.5098
553.281,11384.4546
553.502,11408.10253
553.723,11436.46161
553.944,11454.0859
554.166,11482.42963
554.387,11509.38344
554.608,11535.26399
554.829,11559.79961
555.05,11594.70098
555.271,11623.92583
555.492,11645.99382
555.713,11676.64914
555.934,11709.01535
556.155,11734.39893
556.376,11764.11972
556.597,11789.71318
556.818,11821.4978
557.039,11851.43333
557.26,11876.32325
557.481,11901.72011
557.702,11936.73396
557.923,11970.69523
558.144,11994.70718
558.365,12013.1791
558.586,12046.10407
558.807,12073.68486
559.028,12106.06348
559.248,12123.68491
559.469,12157.11473
559.69,12182.40362
559.911,12212.49662
560.132,12242.90923
560.352,12269.49622
560.573,12301.30767
560.794,12326.36708
561.015,12346.38411
561.235,12383.58306
561.456,12406.82092
561.677,12445.59784
561.897,12475.5466
562.118,12517.80714
562.339,12556.55947
562.559,12596.27041
562.78,12632.12529
563.0,12677.02077
563.221,12717.73429
563.441,12761.88405
563.662,12792.66298
563.882,12833.58911
564.103,12866.81449
564.323,12905.69891
564.544,12930.13261
564.764,12959.53692
564.985,12991.82354
565.205,13024.19122
565.426,13044.58941
565.646,13080.03382
565.866,13116.54614
566.087,13151.83598
566.307,13182.67907
566.528,13212.30148
566.748,13237.01839
566.968,13267.09818
567.188,13297.12836
567.409,13317.03177
567.629,13342.52743
567.849,13369.51678
568.069,13388.70456
568.29,13404.60068
568.51,13425.8058
568.73,13456.0702
568.95,13488.24378
569.17,13504.86913
569.39,13533.75565
569.611,13557.81943
569.831,13594.3055
570.051,13613.83081
570.271,13637.13356
570.491,13670.37738
570.711,13705.59098
570.931,13738.27906
571.151,13749.8081
571.371,13766.80951
571.591,13785.58287
571.811,13804.37362
572.031,13826.52225
572.251,13839.42707
572.471,13865.3223
572.691,13889.75556
572.911,13891.00925
573.131,13898.94119
573.35,13904.92998
573.57,13922.64328
573.79,13937.14455
574.01,13951.4189
574.23,13959.54599
574.449,13962.56809
574.669,13962.05383
574.889,13964.31184
575.109,13968.8879
575.328,13985.10988
575.548,13987.57216
575.768,13984.10238
575.988,13982.27957
576.207,13971.62558
576.427,13978.85383
576.647,13978.07639
576.866,13976.6622
577.086,13974.28191
577.305,13965.85305
577.525,13952.39651
577.744,13950.34676
577.964,13942.70563
578.184,13956.91057
578.403,13961.09372
578.623,13964.91593
578.842,13957.34652
579.062,13951.88356
579.281,13947.47986
579.5,13946.15619
579.72,13942.90925
579.939,13942.66176
580.159,13931.73412
580.378,13924.72899
580.597,13900.15654
580.817,13883.15174
581.036,13872.97998
581.255,13858.05055
581.475,13855.83923
581.694,13844.91417
581.913,13826.56329
582.132,13822.93684
582.352,13814.7939
582.571,13799.95093
582.79,13793.74969
583.009,13781.08825
583.229,13771.35102
583.448,13758.39066
583.667,13745.42775
583.886,13722.1268
584.105,13708.69404
584.324,13703.21704
584.543,13678.94014
584.762,13657.22235
584.981,13647.06991
585.2,13630.64661
585.419,13614.61078
585.638,13594.06581
585.857,13578.05805
586.076,13568.83864
586.295,13554.53385
586.514,13542.42485
586.733,13526.08158
586.952,13528.84487
587.171,13517.77174
587.39,13499.29411
587.609,13492.15444
587.828,13486.09034
588.047,13478.87359
588.265,13462.87178
588.484,13449.48952
588.703,13439.26619
588.922,13430.81847
589.141,13420.76378
589.359,13399.89956
589.578,13386.43687
589.797,13377.33188
590.015,13364.3112
590.234,13351.03676
590.453,13343.61405
590.671,13335.65582
590.89,13327.7403
591.109,13325.06778
591.327,13313.14206
591.546,13299.44582
591.764,13295.34964
591.983,13294.58277
592.202,13286.70516
592.42,13277.21139
592.639,13274.93247
592.857,13265.34641
593.076,13258.82069
593.294,13252.99573
593.513,13247.21829
593.731,13241.34145
593.949,13241.80837
594.168,13234.77676
594.386,13224.6903
594.605,13223.50037
594.823,13220.62755
595.041,13213.9491
595.26,13209.34233
595.478,13206.17607
595.696,13209.46889
595.914,13213.92064
596.133,13213.80371
596.351,13208.01712
596.569,13209.38615
596.787,13207.85865
597.006,13201.49529
597.224,13188.77975
597.442,13184.73974
597.66,13181.06641
597.878,13177.96314
598.096,13169.07676
598.315,13150.63379
598.533,13143.12936
598.751,13139.84325
598.969,13128.07207
599.187,13124.90244
599.405,13122.44053
599.623,13127.79864
599.841,13130.55861
600.059,13133.28254
600.277,13135.23027
600.495,13128.48683
600.713,13133.89536
600.931,13135.13172
601.149,13137.40122
601.366,13140.89052
601.584,13145.97016
601.802,13152.3764
602.02,13145.05277
602.238,13139.63786
602.456,13141.9562
602.674,13142.07165
602.891,13144.7667
603.109,13145.10205
603.327,13154.13597
603.545,13154.26295
603.762,13159.23892
603.98,13159.79573
604.198,13162.05162
604.415,13168.27899
604.633,13181.54633
604.851,13187.6879
605.068,13198.12602
605.286,13201.70007
605.503,13208.7286
605.721,13214.1581
605.939,13224.23071
606.156,13222.62543
606.374,13225.74406
606.591,13227.77485
606.809,13245.68642
607.026,13242.17421
607.244,13241.61106
607.461,13238.87862
607.679,13252.43816
607.896,13264.25402
608.113,13265.98809
608.331,13277.64026
608.548,13288.88875
608.766,13306.83058
608.983,13326.59849
609.2,13331.00309
609.418,13349.70257
609.635,13367.8828
609.852,13387.43463
610.069,13410.66848
610.287,13422.11284
610.504,13433.33324
610.721,13433.78896
610.938,13454.08215
611.155,13461.95026
611.373,13469.34564
611.59,13478.77063
611.807,13487.90849
612.024,13497.59229
612.241,13508.73229
612.458,13500.43065
612.675,13501.48048
612.892,13508.00985
613.109,13519.42635
613.326,13521.0864
613.543,13527.49618
613.76,13527.81515
613.977,13534.90306
614.194,13543.28128
614.411,13544.10721
614.628,13542.95972
614.845,13554.25476
615.062,13561.79574
615.279,13567.47167
615.496,13570.92283
615.713,13578.0621
615.93,13579.89298
616.146,13587.19324
616.363,13587.89714
616.58,13583.38242
616.797,13584.20959
617.014,13595.84365
617.23,13597.09777
617.447,13593.35755
617.664,13592.78733
617.88,13594.05774
618.097,13589.23853
618.314,13592.20802
618.53,13588.84857
618.747,13598.67278
618.964,13606.1929
619.18,13612.95525
619.397,13613.29526
619.613,13617.91408
619.83,13623.10534
620.047,13633.11987
620.263,13643.16327
620.48,13658.67731
620.696,13657.14709
620.913,13664.07424
621.129,13666.12851
621.345,13659.81119
621.562,13661.15111
621.778,13660.78593
621.995,13662.82051
622.211,13673.42797
622.427,13668.36666
622.644,13664.25741
622.86,13647.05172
623.076,13652.03116
623.293,13649.78306
623.509,13649.01338
623.725,13650.36812
623.942,13645.02791
624.158,13629.50089
624.374,13618.39028
624.59,13598.20461
624.806,13589.63308
625.023,13576.07093
625.239,13572.04168
625.455,13559.47395
625.671,13552.07029
625.887,13533.98669
626.103,13516.55524
626.319,13500.92083
626.535,13490.56467
626.751,13475.70746
626.967,13475.12188
627.183,13464.11609
627.399,13456.65076
627.615,13451.80036
627.831,13437.16473
628.047,13423.71357
628.263,13414.19101
628.479,13403.14296
628.695,13394.18321
628.911,13389.43289
629.127,13379.11551
629.343,13366.06287
629.558,13356.20415
629.774,13342.94582
629.99,13324.63118
630.206,13310.85206
630.422,13293.30609
630.637,13277.66073
630.853,13265.75428
631.069,13256.13759
631.285,13238.96385
631.5,13222.86677
631.716,13203.27094
631.932,13185.11439
632.147,13174.77816
632.363,13160.204
632.579,13144.12823
632.794,13127.10606
633.01,13114.03629
633.225,13106.28841
633.441,13087.08706
633.656,13069.0975
633.872,13055.94592
634.087,13036.89007
634.303,13024.62333
634.518,12995.09568
634.734,12971.87998
634.949,12951.84689
635.165,12938.88154
635.38,12923.43654
635.595,12900.89449
635.811,12882.83345
636.026,12868.16942
636.241,12851.93923
636.457,12835.65829
636.672,12812.13962
636.887,12801.79248
637.103,12789.64033
637.318,12783.90029
637.533,12768.80309
637.748,12740.06138
637.964,12718.90635
638.179,12702.19172
638.394,12689.37216
638.609,12678.46234
638.824,12663.81471
639.039,12645.20093
639.255,12634.23819
639.47,12617.60386
639.685,12601.43459
639.9,12584.60771
640.115,12580.24565
640.33,12569.38495
640.545,12555.97145
640.76,12537.81582
640.975,12522.70475
641.19,12510.09914
641.405,12497.03213
641.62,12485.42767
641.835,12475.32144
642.05,12452.17167
642.264,12431.07844
642.479,12411.94916
642.694,12403.42027
642.909,12393.85594
643.124,12384.82833
643.339,12368.55618
643.553,12355.02147
643.768,12341.31016
643.983,12331.99711
644.198,12321.26178
644.412,12315.56745
644.627,12315.51622
644.842,12304.05907
645.056,12289.70277
645.271,12280.71302
645.486,12265.99612
645.7,12252.49336
645.915,12238.52349
646.13,12235.5594
646.344,12212.77182
646.559,12200.15722
646.773,12182.62166
646.988,12171.5339
647.202,12159.99283
647.417,12147.06043
647.631,12129.22171
647.846,12109.53588
648.06,12087.49785
648.275,12070.02167
648.489,12055.55333
648.703,12048.91228
648.918,12030.03871
649.132,12030.1485
649.347,12016.17
649.561,12014.14264
649.775,12010.65494
649.99,12001.14336
650.204,12004.49472
650.418,12009.82436
650.632,12011.23577
650.847,12008.80091
651.061,12004.43549
651.275,12003.86349
651.489,11996.62779
651.703,11993.29799
651.917,11986.73028
652.132,11974.46306
652.346,11967.19156
652.56,11963.93916
652.774,11962.50486
652.988,11962.52462
653.202,11953.11821
653.416,11942.50433
653.63,11939.07025
653.844,11921.54719
654.058,11919.45282
654.272,11906.51234
654.486,11901.80546
654.7,11897.26365
654.914,11883.35888
655.128,11873.84289
655.342,11860.21643
655.556,11855.90677
655.769,11847.43748
655.983,11832.21327
656.197,11828.02841
656.411,11815.23325
656.625,11805.59454
656.839,11791.47929
657.052,11784.31043
657.266,11779.41151
657.48,11764.18149
657.693,11756.17712
657.907,11741.26566
658.121,11735.99788
658.335,11726.60082
658.548,11722.9825
658.762,11715.7322
658.975,11708.28404
659.189,11702.8915
659.403,11695.91956
659.616,11683.53862
659.83,11681.27909
660.043,11672.15173
660.257,11663.59453
660.47,11652.59641
660.684,11656.26031
660.897,11648.28757
661.111,11636.77418
661.324,11630.6937
661.537,11627.20017
661.751,11621.29906
661.964,11626.39684
662.178,11623.96977
662.391,11621.67649
662.604,11620.27445
662.818,11619.33052
663.031,11616.88329
663.244,11619.88867
663.457,11620.36627
663.671,11621.50134
663.884,11616.12536
664.097,11613.61189
664.31,11608.92599
664.524,11599.48161
664.737,11603.661
664.95,11600.17798
665.163,11603.06959
665.376,11600.67591
665.589,11593.71135
665.802,11592.59411
666.015,11582.74159
666.228,11585.01648
666.442,11586.99426
666.655,11585.13727
666.868,11589.04815
667.081,11581.03836
667.293,11578.8172
667.506,11576.31641
667.719,11565.8182
667.932,11560.46025
668.145,11547.36662
668.358,11546.65735
668.571,11540.27279
668.784,11527.07851
668.997,11519.68241
669.209,11515.2872
669.422,11508.85664
669.635,11511.91424
669.848,11506.96771
670.061,11504.36549
670.273,11504.17596
670.486,11506.43292
670.699,11498.5742
670.911,11493.78079
671.124,11502.23255
671.337,11495.35698
671.549,11495.29052
671.762,11489.84581
671.975,11480.2918
672.187,11478.52775
672.4,11479.47334
672.612,11477.36217
672.825,11476.51176
673.037,11483.59551
673.25,11484.83216
673.462,11472.28583
