lambda,0,30,60,90,120,150
386.852,1.525,0.91488,2.26964,1.64464,1.90298,3.1131
387.083,1.90119,1.3244,2.4506,1.77321,1.90298,3.375
387.315,2.14405,1.24821,2.4506,1.50655,2.08393,3.77976
387.546,2.27262,1.09583,2.36488,1.73036,1.95536,3.77024
387.777,3.00595,1.41964,2.61726,2.20655,2.59821,4.54643
388.009,3.29167,1.79583,2.75536,2.46369,2.55536,4.9131
388.24,3.77262,2.29583,3.02679,3.07321,2.91726,5.18452
388.471,3.94405,2.11012,3.49345,3.16369,3.02202,5.35595
388.703,4.14881,2.17679,3.31726,2.79702,2.94107,5.34643
388.934,4.35833,2.59583,3.88869,3.1875,3.26488,5.80357
389.165,4.03452,2.59107,3.48869,2.89226,3.08869,5.6131
389.396,4.41071,2.93869,3.44583,2.93988,3.58869,6.23214
389.627,4.77262,3.2625,3.89821,3.19702,3.7506,6.41786
389.859,5.19167,3.73393,3.78869,3.15417,4.4125,6.75119
390.09,5.23929,3.83869,3.48393,2.6494,4.53631,6.7131
390.321,5.71071,3.90536,3.88393,2.7494,5.22679,7.27024
390.552,6.38214,4.38155,4.34107,2.62083,5.61726,7.66548
390.783,6.8631,4.44821,4.47917,2.89702,5.79821,8.04643
391.014,7.55357,4.87202,4.24107,3.08274,5.83631,8.175
391.246,7.91548,4.81012,4.39345,3.05893,5.89821,8.26548
391.477,7.87262,4.7006,3.83631,2.90179,5.79821,8.45119
391.708,7.83452,4.67202,3.50774,2.69702,6.1506,8.77976
391.939,8.24881,4.78155,3.53631,2.71607,6.38393,9.4131
392.17,8.39167,4.87202,3.77917,2.47798,6.78393,9.81786
392.401,8.73929,5.01488,3.50774,2.31131,7.3506,10.15119
392.632,9.21071,5.3244,3.64583,2.23988,7.59821,10.55119
392.863,9.94405,5.48631,3.55536,2.10655,7.8125,10.875
393.094,10.26786,5.63869,3.26012,1.59226,8.06964,11.00833
393.325,10.76786,5.98631,2.84107,1.73988,8.61726,11.3369
393.556,11.37262,6.5244,3.03155,1.95417,9.03631,12.31786
393.787,11.93929,6.61964,2.69345,2.21607,9.3125,12.67024
394.018,13.19167,6.79583,3.0125,2.56369,9.77917,13.65119
394.249,13.74881,6.79107,3.23631,2.92083,9.94107,13.85595
394.48,14.1631,6.98155,2.96488,2.95417,10.20774,14.45119
394.711,14.6869,7.33869,3.09821,2.97798,10.3125,15.21786
394.942,15.24881,7.61488,3.36964,3.29226,10.62202,16.16548
395.173,15.81071,8.10536,3.18393,3.17798,10.7125,16.78452
395.404,16.27262,8.25298,3.09821,3.38274,10.90774,17.8131
395.634,16.8869,8.65774,2.9744,3.53512,11.4506,18.58929
395.865,17.69643,9.25298,2.96488,3.93512,11.89345,19.59405
396.096,18.67262,9.97202,2.76964,4.67798,12.74107,20.62738
396.327,19.60595,10.70536,3.09345,5.15417,13.43631,21.6369
396.558,21.025,11.6244,3.84107,5.9256,14.16012,22.80357
396.789,21.64405,11.66726,3.76964,6.13512,14.70774,23.34167
397.02,22.52976,11.83869,3.63631,6.34464,15.18869,24.11786
397.25,23.23452,12.45774,3.81726,6.6875,15.79345,25.47976
397.481,23.63929,12.86726,3.47917,6.7494,16.33155,25.96548
397.712,24.03452,13.2244,3.48869,6.85417,17.16012,26.89405
397.943,24.75833,13.64345,3.50298,7.29226,17.7125,28.11786
398.173,25.71071,14.09583,3.82202,7.30655,18.48393,29.39405
398.404,26.40595,14.18631,3.58393,7.47321,19.20298,30.06071
398.635,27.12976,14.79583,3.83631,7.41607,20.0125,31.05595
398.865,27.30119,15.18631,3.64583,7.49226,20.66012,31.68929
399.096,28.22024,15.57679,3.49345,7.51607,21.26488,32.76071
399.327,28.93929,16.11488,3.44583,7.45417,21.79345,33.72738
399.558,29.64405,16.04821,3.27917,7.17321,22.3506,34.69405
399.788,30.83452,16.40536,3.24107,7.1875,23.2506,35.60833
400.019,31.5869,16.81488,3.38869,7.46845,24.32679,36.74167
400.249,32.37738,17.32917,3.49345,7.73988,25.48393,37.90833
400.48,33.07262,17.6244,3.82679,8.35893,26.15536,38.875
400.711,33.25833,17.59107,3.67917,7.99702,26.99345,39.48452
400.941,33.6869,17.8244,3.75536,7.8875,27.68869,40.23214
401.172,34.8631,18.38631,3.82202,7.96369,28.86488,41.72262
401.402,35.81548,18.3244,3.52679,7.81607,29.54107,42.55595
401.633,36.53929,19.03393,3.50298,8.01131,30.44583,43.67024
401.863,37.64405,19.91488,3.59821,8.44464,31.31726,45.18929
402.094,38.72976,20.3244,3.82679,8.85893,32.50774,46.35595
402.324,39.64881,20.44345,4.0744,8.94464,33.17917,47.53214
402.555,40.61071,20.7244,4.2506,9.73512,34.31726,48.83214
402.785,41.35833,20.7244,4.1506,9.85893,35.32679,50.15595
403.016,41.77738,20.85298,4.16488,10.27321,35.94583,51.63214
403.246,42.8631,21.35774,4.18869,10.62083,37.34583,53.24643
403.477,43.7869,21.38631,4.01726,11.2256,38.19345,54.94643
403.707,44.95357,21.49107,3.89345,11.4256,39.01726,56.18452
403.938,45.55833,21.79107,3.95536,11.76369,40.08393,57.7131
404.168,47.025,21.9006,4.0506,11.86369,41.28393,59.36548
404.398,48.23452,22.36726,4.08393,12.62083,42.60774,60.84167
404.629,49.24881,22.68631,4.15536,13.30179,43.57917,62.49405
404.859,49.92976,22.67679,3.93155,13.54464,44.5744,63.98929
405.09,51.57262,22.78631,3.94107,14.26369,45.63631,65.48452
405.32,52.71548,23.25774,3.78393,14.46369,46.96012,67.70357
405.55,54.33452,23.7244,4.30774,15.10179,48.35536,69.64167
405.781,55.77738,24.41488,4.84583,15.63036,49.88869,71.70833
406.011,56.73929,24.73869,4.9744,16.23036,50.73631,73.10357
406.241,57.39643,24.94345,4.78869,16.45893,51.75536,74.83214
406.471,58.3869,24.87202,4.5744,16.9875,52.9506,76.5131
406.702,59.39167,24.60536,4.2506,17.6256,54.39345,77.98929
406.932,60.62976,24.74345,4.2125,17.89702,55.63155,79.63214
407.162,62.53929,25.51012,4.28393,19.05893,57.64107,82.0369
407.392,63.85833,25.68155,4.20298,18.99226,58.92679,83.72262
407.623,65.14405,26.34345,4.70298,20.09226,60.40774,85.37024
407.853,66.525,26.80536,4.72679,20.73512,62.2125,87.30357
408.083,67.57738,27.00536,4.87917,21.36845,63.50298,89.27024
408.313,68.56786,26.91964,4.93155,21.70179,65.0506,90.66071
408.543,69.84881,27.63869,5.34107,22.55893,67.13631,92.7131
408.774,71.41071,27.99107,5.54583,23.3494,68.9125,94.52738
409.004,72.0631,28.2006,5.6125,24.35893,70.55536,96.275
409.234,73.225,29.07202,5.98869,25.3494,72.31726,98.3369
409.464,74.09167,29.21964,5.82679,25.95893,73.8125,99.8369
409.694,75.89643,29.71964,6.10298,26.96845,75.84583,101.68452
409.924,76.10119,30.10536,5.70298,27.1875,77.22679,103.175
410.154,76.925,30.23393,5.56488,27.81131,78.9506,104.55595
410.384,77.70119,30.43393,5.06012,28.3875,80.55536,106.36071
410.614,78.72976,30.39107,4.95536,29.03988,82.25536,108.22262
410.844,79.6631,30.30536,4.64107,29.57798,84.07917,109.89881
411.074,81.05357,30.79107,4.91726,30.75417,86.24107,111.71786
411.304,82.425,31.20536,5.13155,31.30655,88.08869,113.93214
