lambda,intensity
494.591,96.02113
494.816,96.16399
495.041,96.00685
495.266,95.8497
495.491,96.16875
495.716,96.52113
495.941,96.7878
496.166,96.83065
496.391,96.91161
496.616,96.50685
496.84,96.27351
497.065,96.17827
497.29,95.95446
497.515,96.15923
497.74,96.0878
497.965,96.05446
498.19,95.91637
498.414,95.91637
498.639,95.51161
498.864,95.60208
499.089,95.61161
499.314,95.59732
499.538,95.80208
499.763,95.81161
499.988,95.79732
500.212,95.57351
500.437,95.35446
500.662,95.22589
500.886,95.2497
501.111,95.23542
501.336,95.39732
501.56,95.27827
501.785,95.41161
502.01,95.32589
502.234,95.17351
502.459,95.18304
502.683,94.91161
502.908,94.69256
503.132,94.30208
503.357,94.39256
503.581,94.36875
503.806,94.3497
504.03,94.49732
504.255,94.27827
504.479,94.50685
504.703,94.45923
504.928,94.31637
505.152,94.25923
505.377,94.13542
505.601,94.00685
505.825,93.85446
506.05,93.75923
506.274,93.87351
506.498,94.05923
506.723,94.13542
506.947,94.33542
507.171,94.18304
507.395,94.27351
507.62,94.63542
507.844,94.67827
508.068,94.45923
508.292,94.42589
508.516,94.62589
508.741,94.31161
508.965,94.31161
509.189,94.47351
509.413,94.53065
509.637,94.61637
509.861,94.59732
510.085,94.46399
510.309,94.71161
510.533,94.75923
510.757,94.71637
510.981,94.72113
511.205,94.33065
511.429,94.39732
511.653,94.38304
511.877,94.66875
512.101,94.83065
512.325,94.86875
512.549,95.02589
512.773,95.35446
512.997,95.11637
513.221,94.60208
513.445,94.77351
513.668,94.84018
513.892,94.39256
514.116,94.22113
514.34,94.3878
514.564,94.35446
514.787,94.11637
515.011,94.10208
515.235,94.0878
515.459,94.38304
515.682,94.19732
515.906,94.40685
516.13,94.36399
516.353,94.1878
516.577,94.02113
516.801,93.94494
517.024,93.91161
517.248,93.7878
517.472,93.86875
517.695,93.87351
517.919,94.1497
518.142,94.09732
518.366,94.34494
518.589,94.57351
518.813,94.64018
519.036,94.59256
519.26,94.72589
519.483,94.98304
519.707,94.63542
519.93,94.93542
520.154,94.60208
520.377,94.70685
520.6,94.68304
520.824,94.79256
521.047,94.64018
521.271,94.62113
521.494,94.49256
521.717,94.3878
521.941,94.63065
522.164,94.69256
522.387,95.05923
522.61,94.76875
522.834,94.66399
523.057,94.16399
523.28,94.47827
