wavelength_nm,intensity
519.5847923961982,157874913187.24893
519.75987993997,158135755723.2137
519.9349674837418,158396763360.9471
520.1100550275138,158657935795.4848
520.2851425712856,158919272721.58435
520.4602301150576,159180773833.7292
520.6353176588294,159442438826.12726
520.8104052026013,159704267392.71457
520.9854927463732,159966259227.15598
521.1605802901452,160228414022.84445
521.335667833917,160490731472.9065
521.5107553776888,160753211270.2008
521.6858429214608,161015853107.31937
521.8609304652326,161278656676.5905
522.0360180090046,161541621670.07968
522.2111055527763,161804747779.58978
522.3861930965483,162068034696.66418
522.5612806403202,162331482112.5875
522.736368184092,162595089718.3866
522.9114557278639,162858857204.83163
523.0865432716357,163122784262.439
523.2616308154077,163386870581.47116
523.4367183591796,163651115851.93918
523.6118059029515,163915519763.60263
523.7868934467233,164180082005.97278
523.9619809904952,164444802268.31293
524.1370685342671,164709680239.6393
524.312156078039,164974715608.72345
524.4872436218109,165239908064.09436
524.6623311655827,165505257294.03622
524.8374187093547,165770762986.59445
525.0125062531266,166036424829.57373
525.1875937968985,166302242510.54172
525.3626813406703,166568215716.82852
525.5377688844422,166834344135.528
525.7128564282141,167100627453.501
525.887943971986,167367065357.37537
526.0630315157579,167633657533.54776
526.2381190595297,167900403668.18488
526.4132066033017,168167303447.22406
526.5882941470736,168434356556.37592
526.7633816908453,168701562681.12564
526.9384692346173,168968921506.73312
527.1135567783892,169236432718.2354
527.2886443221611,169504096000.4472
527.463731865933,169771911037.9638
527.6388194097049,170039877515.15988
527.8139069534767,170307995116.1937
527.9889944972487,170576263525.00687
528.1640820410206,170844682425.32547
528.3391695847923,171113251500.66125
528.5142571285643,171381970434.31525
528.6893446723362,171650838909.37637
528.8644322161081,171919856608.72397
529.0395197598799,172189023215.02936
529.2146073036519,172458338410.75647
529.3896948474237,172727801878.16324
529.5647823911956,172997413299.3046
529.7398699349676,173267172356.0316
529.9149574787393,173537078729.99362
530.0900450225113,173807132102.63962
530.2651325662831,174077332155.22015
530.4402201100551,174347678568.7878
530.6153076538269,174618171024.19894
530.7903951975987,174888809202.1145
530.9654827413707,175159592783.0028
531.1405702851425,175430521447.13843
531.3156578289145,175701594874.6061
531.4907453726863,175972812745.3005
531.6658329164582,176244174738.92883
531.8409204602301,176515680535.0089
532.0160080040021,176787329812.87512
532.1910955477738,177059122251.67682
532.3661830915457,177331057530.37997
532.5412706353177,177603135327.76944
532.7163581790895,177875355322.4484
532.8914457228614,178147717192.8426
533.0665332666333,178420220617.19827
533.2416208104052,178692865273.5866
533.4167083541771,178965650839.90326
533.591795897949,179238576993.8687
533.7668834417208,179511643413.03253
533.9419709854927,179784849774.77258
534.1170585292647,180058195756.29608
534.2921460730365,180331681034.64246
534.4672336168084,180605305286.68323
534.6423211605803,180879068189.12396
534.8174087043521,181152969418.50497
534.9924962481241,181427008651.2046
535.1675837918959,181701185563.43787
535.3426713356678,181975499831.2584
535.5177588794397,182249951130.5613
535.6928464232117,182524539137.08316
535.8679339669835,182799263526.4028
536.0430215107554,183074123973.94443
536.2181090545273,183349120154.97772
536.3931965982991,183624251744.6175
536.5682841420711,183899518417.82898
536.7433716858429,184174919849.425
536.9184592296148,184450455714.07025
537.0935467733867,184726125686.28168
537.2686343171587,185001929440.42752
537.4437218609305,185277866650.73215
537.6188094047023,185553936991.2761
537.7938969484743,185830140135.99545
537.9689844922461,186106475758.68533
538.1440720360181,186382943533.0014
538.3191595797898,186659543132.45795
538.4942471235618,186936274230.43384
538.6693346673337,187213136500.1698
538.8444222111056,187490129614.77213
539.0195097548774,187767253247.21146
539.1945972986492,188044507070.32773
539.3696848424212,188321890756.82803
539.5447723861931,188599403979.28915
539.719859929965,188877046410.15936
539.8949474737368,189154817721.75885
540.0700350175088,189432717586.28082
540.2451225612806,189710745675.79388
540.4202101050525,189988901662.2418
540.5952976488244,190267185217.44736
540.7703851925962,190545596013.10895
540.9454727363682,190824133720.80685
541.1205602801401,191102798012.00143
541.295647823912,191381588558.0351
541.4707353676838,191660505030.13428
541.6458229114558,191939547099.40918
541.8209104552276,192218714436.8563
541.9959979989995,192498006713.35977
542.1710855427714,192777423599.69113
542.3461730865432,193056964766.512
542.5212606303152,193336629884.37473
542.6963481740871,193616418623.72314
542.8714357178588,193896330654.89542
543.0465232616308,194176365648.12332
543.2216108054027,194456523273.53503
543.3966983491746,194736803201.15402
543.5717858929465,195017205100.90347
543.7468734367184,195297728642.6056
543.9219609804902,195578373495.98312
544.0970485242622,195859139330.66037
544.2721360680341,196140025816.16428
544.4472236118058,196421032621.92657
544.6223111555778,196702159417.2842
544.7973986993497,196983405871.48062
544.9724862431216,197264771653.66696
545.1475737868934,197546256432.90463
545.3226613306654,197827859878.16223
545.4977488744372,198109581658.32278
545.6728364182092,198391421442.18082
545.847923961981,198673378898.44467
546.0230115057528,198955453695.73727
546.1980990495248,199237645502.59827
546.3731865932966,199519953987.48438
546.5482741370686,199802378818.77158
546.7233616808404,200084919664.75406
546.8984492246122,200367576193.6491
547.0735367683842,200650348073.5942
547.248624312156,200933234972.6506
547.423711855928,201216236558.80463
547.5987993996998,201499352499.96844
547.7738869434717,201782582463.9798
547.9489744872436,202065926118.60562
548.1240620310156,202349383131.5412
548.2991495747873,202632953170.4127
548.4742371185592,202916635902.77765
548.6493246623312,203200430996.12686
548.824412206103,203484338117.88287
548.9994997498749,203768356935.4063
549.1745872936468,204052487115.99182
549.3496748374187,204336728326.8721
549.5247623811906,204621080235.21863
549.6998499249625,204905542508.14124
549.8749374687343,205190114812.69217
550.0500250125062,205474796815.8651
550.2251125562782,205759588184.59634
550.40020010005,206044488585.76688
550.5752876438219,206329497686.20328
550.7503751875938,206614615152.67804
550.9254627313657,206899840651.91147
551.1005502751376,207185173850.57404
551.2756378189094,207470614415.28482
551.4507253626813,207756162012.61325
551.6258129064532,208041816309.08347
551.8009004502252,208327576971.17126
551.975987993997,208613443665.3069
552.1510755377689,208899416057.87738
552.3261630815408,209185493815.22534
552.5012506253127,209471676603.65192
552.6763381690846,209757964089.4177
552.8514257128564,210044355938.74268
